"id","unidade","municipio","logradouro","numero","bairro","cep"
14,"Fatec Capão Bonito","Capão Bonito","R. Amantino de Oliveira Ramos","60","Terras de Embiruçu","18304755"
25,"Fatec Guarulhos","Guarulhos","R. Cristóbal Cláudio Elilo","88","Parque Cecap","07190065"
26,"Fatec Indaiatuba - Dr. Archimedes Lammoglia","Indaiatuba","R. D. Pedro I","65","Cidade Nova I","13334100"
32,"Fatec Jaboticabal - Nilo de Stéfani","Jaboticabal","Av. Eduardo Zambianchi","31","Vila Industrial","14883130"
38,"Fatec Marília - Estudante Rafael Almeida Camarinha","Marília","Av. Castro Alves","62","Somenzari","17506000"
44,"Fatec Osasco - Pref. Hirant Sanazar","Osasco","R. Pedro Rissato","30","Vila dos Remédios","06296220"
50,"Fatec Presidente Prudente","Presidente Prudente","R. Teresina","75","Vila Paulo Roberto","19046230"
