"id","unidade","municipio","logradouro","numero","bairro","cep"
20,"Fatec Ferraz de Vasconcelos","Ferraz de Vasconcelos","R. Carlos de Carvalho","200","Jardim São João","08545120"
21,"Fatec Franca - Dr. Thomaz Novelino","Franca","R. Irênio Grecco","4580","Vila Imperador","14405191"
22,"Fatec Franco da Rocha","Franco da Rocha","Rod. Prefeito Luiz Salomão Chamma","240","Pouso Alegre","07857050"
