"id","unidade","municipio","logradouro","numero","bairro","cep"
16,"Fatec Catanduva","Catanduva","R. Maranhão","898","Centro","15800020"
34,"Fatec Jales - Prof. José Camargo","Jales","R. Vicente Leporace","2630","Jardim Trianon","15703116"
39,"Fatec Matão","Matão","Av. Habib Gabriel","1360","Residencial Olívio Benassi","15990539"
