"id","unidade","municipio","logradouro","numero","bairro","cep"
2,"Fatec Americana - Ministro Ralph Biasi","Americana","R. Emílio de Menezes",NULL,"Gleba B - Vila Amorim","13469111"
11,"Fatec Botucatu","Botucatu","Av. José Ítalo Bacchi",NULL,"Jardim Aeroporto","18606855"
35,"Fatec Jahu","Jaú","R. Frei Galvão",NULL,"Jardim Pedro Ometto","17212599"
41,"Fatec Mococa","Mococa","Av. Dr. Américo Pereira Lima",NULL,"Jardim Lavínia","13736260"
